, 570127
Verurteilten	sprach, 1
Vervollständigung, 1
Verwaltungsakten, 1
Verwaltungsbehörde	zurückgewiesen, 1
Verwaltungsprozess, 1
Verwaltungsrechtsprechung, 1
Verwaltungsverfahrens	Z, 1
Verwaltungsverfügungen, 1
Verwandte, 1
Verwandter, 1
Verweigern, 1
Verweisungstätigkeit, 1
Verwertbarkeit	richtig, 1
Verwirkungsfrist, 1
Verzugs-, 1
Verzugszinsen	abgelehnt, 1
Veränderungen, 1
Vielmehr	bedarf, 1
Vier, 1
Violeta	Ilievska, 1
Vistabel	gefördert, 1
Vistabel	gelten, 1
Visumsantrag	abgelehnt, 1
Visumsbefreiung, 1
Visumsgesuch	einzuholen, 1
Visumsgesuch	gutzuheissen, 1
Visumsverfahrens, 1
Visus	aufgewiesen, 1
Viszeralchirurgie, 1
Vollzeittätigkeit, 1
Vollziehungsverordnung, 1
Vollzugsbehörden, 1
Von	Indonesien, 1
Von	Verzugszinsen, 1
Vorakten, 1
Voraussicht, 1
Vorbescheide, 1
Vorbildung, 1
Vorinstanz-act, 1
Vorinstanz.GegenstandFreiwillige, 1
Vorinstanz.GegenstandRentenrevision, 1
Vorinstanz.GegenstandVerweigerung, 1
Vorinstanz.Zur	ergänzenden, 1
Vorkehr	geeignet, 1
Vorkehrungen, 1
Vorkommnisse, 1
Vorliegen	wichtiger, 1
Vorschussleistungen, 1
Vorsorgeformen, 1
Vorsorgekapitalien, 1
Vorstandsmitglied, 1
Vorteile	geniessen, 1
Vorwurf	zu	Recht, 1
Vorwürfe	massiver, 1
Vorzug	gibt, 1
Vorzug	verdient, 1
VwVG:224849526264ASAS	2011/5659AS, 1
VwVG:484950526263BBl2002/3774EU	Verordnung539/2001562/2006EU, 1
VwVG:4849626364ASAS	1998/194, 1
VwVG:4850526364ASAS	2011/5659AS, 1
VwVG:526364ASAS	2007/5129, 1
VwVG:526364ASAS	2011/5659AS	2007/5129, 1
W.	Luethi, 1
W.________	wohnen, 1
WALDMANN, 1
WML, 1
Wahl, 1
Wahlrecht	hinsichtlich, 1
Walser, 1
Wand, 1
Wanderarbeitnehmer, 1
Ware	verursacht, 1
Waren	gemeint, 1
Waren	verkauft, 1
Warte, 1
Warteliste, 1
Warum, 1
Wechselposition, 1
Wechselwirkung, 1
Wegen	Unmöglichkeit, 1
Wegleitungen, 1
Wegweisung, 1
Wegweisungshindernisse, 1
Wegweisungsverfahrens, 1
Wegzugs, 1
Weisung	gesetzeskonform, 1
Weisungen	AuG, 1
Weiterbehandlung	existenzbedrohende, 1
Weiteres	aufgehoben, 1
Weiteres	gutzuheissen, 1
Weiteres	reformatorisch, 1
Weiteres	unbegründet, 1
Weiterhin	erhalte, 1
Weiterhin	ungeklärt, 1
Weitern	erstaunt, 1
Wenn, 1
Werbung	bejaht, 1
Werkstatt	maschinell, 1
Werkstätte	aber, 1
Werkzeuge, 1
Werte, 1
West	Bank, 1
Wettbewerbsnachteil, 1
Wichser.X._______, 1
Wichtigkeit, 1
Widerruf	rechtskräftiger, 1
Wiederausreise	abgeben, 1
Wiederausreise	abgelehnt, 1
Wiederausreise	auf, 1
Wiederausreise	geknüpft, 1
Wiederausreise	seines	Gastes, 1
Wiederausreise	soll, 1
Wiederausreise	sprechenden, 1
Wiederausreise	zentral, 1
Wiedererwägungsverfügungen, 1
Wiederherstellung, 1
Wiederherstellungsgründe	anerkennt, 1
Wiederholungsgefahr, 1
Wilhelm	Schulthess-Stiftung	antragsgemäss, 1
Willensanspannung, 1
Willensäusserung, 1
Willisegger	Linda, 1
Wirbelkörper	C5/C6, 1
Wirbelsäulenbeschwerden, 1
Wirk-, 1
Wirksamkeit	desselben, 1
Wirksamkeit	insofern, 1
Wirksamkeit	wissenschaftlich, 1
Wirkstoff	gibt, 1
Wirkstoffes	Botulinumtoxin	zu, 1
Wirtschaft	vermittelbar, 1
Wirtschaftlichkeitsprüfung	rechtskonform, 1
Wirtschaftlichkeitsprüfung	verunmöglicht, 1
Wirtschaftlichkeitsprüfungen, 1
Wirtschaftlichkeitsvergleichs	zurückzuweisen, 1
Wirtschaftswachstum	4.8, 1
Wirtschaftszweig	Gartenbau	heran, 1
Wochen	stationär, 1
Wochen	trafen, 1
Wochen	verglichen, 1
Wochen	verliess, 1
Wochenaufenthalt, 1
Wohlfahrtsfonds	heute, 1
Wohnadresse, 1
Wohngemeinde	ausfindig, 1
Wohnland, 1
Wohnnebenkosten, 1
Wohnsitzes, 1
Wohnsitznahme, 1
Wohnsitzwechsel	geendet, 1
Wohnsitzwechsel	wiederum, 1
Wurzel	zuordnen, 1
Wyler	gutgeheissen, 1
Wärme, 1
Würden, 1
XII, 1
Xanax, 1
Y., 1
Y._______	ag, 1
Y.________	stamme, 1
Z.______	Fachhochschule, 1
Z._______, 1
ZAR	4.8, 1
ZH-Lex, 1
ZMB	Basel, 1
Zahladresse	erhalte, 1
Zahladresse	zurückerstattet.3.Der, 1
Zahlungsadresse, 1
Zahlungsbefehls	Rechtsvorschlag, 1
Zahlungsperiode, 1
Zahlungsverkehr, 1
Zahnbehandlung	-, 1
Zeit	AHV-Beiträge, 1
Zeit	angeblich, 1
Zeit	arbeitstätig, 1
Zeit	aufhalte, 1
Zeit	aufhielt, 1
Zeit	bezog, 1
Zeit	dokumentierten, 1
Zeit	erhalte, 1
Zeit	trafen, 1
Zeit	verschlimmert, 1
Zeit	zu, 1
Zeit	zurückliegenden	Bemühungen, 1
Zeitabschnitt, 1
Zeitaufwands, 1
Zeitpunkts, 1
Zeitrahmen, 1
Zeitschrift	für, 1
Zeitungen, 1
Zerfall, 1
Zervikobrachialsyndrom	beidseitig, 1
Zeugenbefragungen, 1
Zeugnis	angeblich, 1
Zeugnis	ein.H.Die, 1
Zielstaat	ernsthafte, 1
Zimmer	eingezogen, 1
Zinsen	rückgängig, 1
Zinssatz, 1
Zofingen	Vorrang, 1
Zofingen	sprach, 1
Zufriedenheit	ausführt, 1
Zufuhr, 1
Zugleich	sprach, 1
Zulassungsgesuch	gutzuheissen, 1
Zulassungsgesuchen, 1
Zulassungsgrund	weggefallen, 1
Zunächst, 1
Zur	Durchsetzung, 1
Zur	Einwendung, 1
Zur	Existenz, 1
Zur	Forschung, 1
Zur	Gamme, 1
Zur	Prämienkorrektur, 1
Zur	Publikumswerbung, 1
Zur	Radiusfraktur, 1
Zur	Schriftenlosigkeit, 1
Zur	besseren, 1
Zur	besseren	Verarbeitung, 1
Zur	ergänzenden, 1
Zur	gutachterlichen, 1
Zur	invalidisierenden, 1
Zur	raschen, 1
Zurzeit, 1
Zusammenfassung	attestierte, 1
Zusammenhang	bemängelt, 1
Zusammenhang	nicht, 1
ZusammenhangBVGE, 1
Zusammensein	demzufolge, 1
Zusatzfragen, 1
Zusicherungen	schweizerischer, 1
Zustellungsversuch, 1
Zustellversuch, 1
Zustände, 1
Zuständigkeit	bejaht, 1
Zuteilungsbeschluss, 1
Zutrittsausweises, 1
Zutrittsberechtigung	beantragen, 1
Zuwanderungsdruck	offenkundig, 1
Zuweisung, 1
Zwangsstörung, 1
Zweck-Mittel-Relation, 1
Zweckentfremdung	rückgängig, 1
Zweitens, 1
Zweitgutachten, 1
Zweitwohnung	aufhielt, 1
Zwischenverfügung	schutzwürdig, 1
Zwischenverfügungen	letzter, 1
Zürich, 1
Zürich-Sihl, 1
a-cKVGregeln, 1
a.	fiktive, 1
a.M.	Paul-Lukas, 1
a.die	Untersuchungen, 1
aAHVG, 1
aBVV, 1
aOV-BK, 1
aVwVGdie, 1
ab, 1
ab.F.Mit	verfahrensleitender, 1
abermals, 1
abgefasste	Bestätigungsschreiben, 1
abgeführt, 1
abgegebenen	Zusicherungen, 1
abgeklärt	werden.3.3.1, 1
abgekürzten, 1
abgelaufenen	Reisepasses, 1
abgelaufenen	maximalen, 1
abgelaufener	Übergangsfrist, 1
abgeleitetes, 1
abgerechnet, 1
abgeschlossene	Inspektion, 1
abgeschlossene	Inspektion	nachträglich	kein, 1
abgeschlossene	Sachverhalte, 1
abgeschlossene	Scheidungskonvention, 1
abgeschlossene	SiRück-Verhältnisse, 1
abgeschlossener	postoperativer, 1
abgeurteilte, 1
abgewiesen.2.In	teilweiser, 1
abgewiesen.Die	nachträglich, 1
abgrenzen, 1
abhängigen	Dauerzustand, 1
abklären, 1
ablaufende	Amtszeit, 1
ablaufende	fünfjährige, 1
ablehne, 1
abrechnen, 1
abrufbar, 1
abschwächenden, 1
absieht, 1
absolute	Höchstgrenze, 1
absolvierte, 1
abweichenden	gutachterlichen, 1
abzielen, 1
abzufassen, 1
abzuweisen	ist.9.Zu, 1
abzuweisen.3, 1
abzuweisen.8.Entsprechend, 1
abzuwickeln, 1
abändern, 1
achtjährige, 1
affektive, 1
ag	effektiv, 1
ainsi, 1
akademischen, 1
akkreditierten, 1
aktenkundigen	schwerwiegenden, 1
aktenkundigen	Übersetzungen, 1
aktenkundigen	äusseren, 1
aktenkundiger	Vergleichsfälle, 1
aktives, 1
aktuellen	Pflegeheimplanung, 1
aktuellen	Rechtsschutzinteresses, 1
aktuellen	Untersuchungen, 1
aktuellen	Wirtschaftslage, 1
aktuelles	Attest, 1
aktuelles	Thema, 1
akut, 1
akuter	Myokardinfarkt, 1
akutsomatischen, 1
akzentuierten	emotional	instabilen	Persönlichkeitszüge, 1
akzentuierten	emotional	instabilen	Persönlichkeitszügen	zu, 1
alle	Anschlussvereinbarungen, 1
alle	Packungen, 1
alle	Rehaklinik, 1
alle	entscheidenden, 1
alle	inhaltlichen, 1
alle	irakischen, 1
alle	rechtsanwendenden, 1
alle	öffentlich, 1
allein	verbrachten, 1
alleinigen, 1
allenfalls, 1
allerdings, 1
allfälligen	Ausschüttung, 1
allfälligen	Entfernungs-, 1
allfälligen	Entlöhnung, 1
allfälligen	Nichtberücksichtigung, 1
allfälligen	geschäftlichen, 1
allfälligen	irakischen, 1
allfälliger, 1
allgemeininternistischen	Teilgutachten, 1
alljährlich, 1
alltäglichen, 1
alte	Asylgesetz, 1
alte	Attest, 1
alte	MRL, 1
alte	Recht.2.3, 1
alte	Stoffe, 1
alte	Töchter	hervorgegangen, 1
alte	Verhaltensmuster, 1
ambulanten	Behandlungen, 1
ambulanten	Diensten, 1
ambulanten	Setting, 1
ambulanten	Spitalbehandlung, 1
ambulanten	Substitutionsbehandlung, 1
ambulanten	Untersuchungen, 1
analoges, 1
anbegehrte	Einreisebewilligung, 1
anberaumten, 1
andauernden	Behandlungen, 1
andauernden	Gefühlen, 1
andauernden	Persönlichkeitsänderung	feststellen, 1
andauernden	Persönlichkeitsänderung	nach	Extrembelastung, 1
andere, 1
anderer, 1
anerkanntes, 1
angeblich	THB, 1
angeblich	anwesenden, 1
angeblich	besseren, 1
angeblich	innige, 1
angeblich	unrechtmässig	aufgehoben, 1
angeblich	unüberwindbaren, 1
angebliche	Cousine, 1
angebliche	Einnahme, 1
angebliche	Garantiefähigkeit, 1
angebliche	Irrtum, 1
angebliche	Unmöglichkeit, 1
angebliche	Überforderung, 1
angeblichen	Nichtberücksichtigung, 1
angeblichen	Vergewaltigung, 1
angeblicher	massiver, 1
angeborenen	Epilepsie, 1
angebrachte	Vorbehalt, 1
angefochten	wird, 1
angefochten	worden, 1
angeführte, 1
angegebenen	Treppensturz, 1
angegebenen	Umzug, 1
angeknüpft, 1
angekündigten	Inspektion, 1
angekündigten	Preiserhöhung, 1
angekündigten	Renteneinstellung, 1
angekündigten	Termin, 1
angekündigten	Zustimmungsverweigerung, 1
angemessene	Formen, 1
angenommen, 1
angeregten, 1
angeschlossen, 1
angesehenen, 1
angesetzt, 1
angestrebten	Abdeckungsrate, 1
angestrengt, 1
angewandte	Leistungsgruppensystematik, 1
angewandte	Weisung, 1
angezeigten	Verwaltungsmassnahme, 1
anhören, 1
anmelden	wollen, 1
anordnete, 1
anrechnen, 1
anrechnen	zu, 1
ansatzweise	aufzeigt, 1
ansatzweise	darzutun, 1
anschliessendem	Import, 1
anschliessendem	zweijährigen, 1
anschliessender	Abstinenz, 1
anschliessender	Mahnung, 1
anschliessender	Plausibilisierung, 1
anschliessender	detaillierter, 1
ansehen, 1
anspruchsrelevante, 1
anthroposophischen, 1
antragsgemäss	aufzuheben, 1
anwaltlich	vertretenen	Beschwerdegegnerinnen, 1
anwaltlich	vertretener	Parteien, 1
anwendbare, 1
anwesenden	Mitarbeitern, 1
anwesenden	Söhne, 1
anwies, 1
anzufechten, 1
anzugehören, 1
anzuhören, 1
anzumerken:2.1, 1
anzutreten, 1
anzuweisen, 1
anzuwenden, 1
arabische, 1
arbeite, 1
arbeitenden, 1
arbeitslos	und, 1
arbeitslose, 1
arbeitslosen	Söhne, 1
arbeitsmarktlichen	Vorentscheid	erteilt, 1
arbeitsrechtlich, 1
arbeitsunfähig.-	Verschiedene, 1
argumentiere, 1
arthroskopische, 1
arthrotische, 1
as	liquid, 1
asylsuchenden, 1
asymptomatische	periphere, 1
attestierte	Grand-mal-Epilepsie, 1
attestierte	Polyarthrose, 1
attestierten	instabilen, 1
aufenthaltsberechtigte, 1
aufgebracht, 1
aufgegeben, 1
aufgehen, 1
aufgehoben	hat.2.1, 1
aufgehoben	hat.3.2, 1
aufgehoben	hat.5.5.1, 1
aufgehoben.2.Die	Schriftenlosigkeit, 1
aufgenommen	worden, 1
aufgenommener, 1
aufgetreten, 1
aufgetretene, 1
aufhängen, 1
aufindexiert, 1
auflösen	möchten, 1
aufnahm, 1
aufnehme, 1
aufrecht	erhalten	wollen, 1
aufrecht	zu, 1
aufwendig, 1
aufwirft, 1
aufzuheben	ist.6.Zu, 1
aufzukommen, 1
aufzuweisen, 1
ausbezahlt	werden.C.Gegen, 1
ausbezahlten	Waisenrenten	fordere, 1
ausdrückt, 1
auseinandersetzt, 1
ausführen, 1
ausführte, 1
ausgedehnten	Untersuchungen, 1
ausgegeben, 1
ausgeglichen	anzunehmenden, 1
ausgehandelten, 1
ausgehandelten	Baserate, 1
ausgehebelt, 1
ausgelöst, 1
ausgenommen, 1
ausgeprägt, 1
ausgeprägter	Angina	Pectoris, 1
ausgeprägter	Erschöpfbarkeit, 1
ausgeprägter	Migrationshintergrund, 1
ausgeprägter	Vermeidung, 1
ausgeprägter	depressiver, 1
ausgeprägter	depressiver	Stimmungslage, 1
ausgerichteten	Entschädigungen, 1
ausgerichteten	Halbwaisenrente, 1
ausgerichteten	IV-Renten, 1
ausgeschlossen	hat.3.2, 1
ausgesprochenen, 1
ausgestalten, 1
ausgestellten	Identitätskarte, 1
ausgestellten	Reisedokumenten, 1
ausgestellten	Reisepasses, 1
ausgestellten	Schengen-Visum, 1
ausgewiesene	Arbeitgeberbeitragsreserven, 1
ausgewiesene	hochstehende, 1
ausgezogen, 1
ausländerrechtlichen	Rahmenbedingungen, 1
ausländerrechtlichen	Vorteile, 1
ausländische, 1
ausländische	Staatsangehörige	betrachtet, 1
auslösende, 1
ausmache, 1
ausmachten, 1
ausnahmsweise	Unterstützung, 1
ausnahmsweise	invalidisierenden, 1
ausnahmsweise	kostenpflichtig, 1
ausnahmsweise	nicht, 1
ausrichte, 1
ausscheide, 1
ausschliessen, 1
aussichtslosen, 1
australischen	Fachärzte, 1
austreten, 1
auswirke, 1
auszugehen, 1
auszusondern, 1
auszusprechen, 1
auszuwählen, 1
autonomen, 1
bAuGzu, 1
bKLV, 1
bVwVGsowie, 1
baldige, 1
beabsichtigte	Umgehung, 1
beabsichtigte	Umteilung, 1
beachtlich, 1
beachtliches	Potential, 1
beanstanden	ist.5.7, 1
beanstanden	ist.Gemäss, 1
beantragen	wollen, 1
beantworte, 1
beantwortete	Anfrage, 1
beauftragten	norwegischen, 1
bedarfsgerechte	Spitalversorgung, 1
bedarfsgerechte	Versorgungsplanung	nach, 1
bedürfte, 1
beeinträchtigen, 1
beeinträchtigende, 1
befragt, 1
befriedigen, 1
befristen	ist.6.6.1, 1
befristeten	Besuchs-, 1
befristeten	Invalidenpension, 1
befristeten	Überbrückungshilfe, 1
begegnen, 1
beglaubigt, 1
beglichen, 1
begrenzten	Einwirkungen, 1
begrenzten	polizeilichen, 1
begründendes, 1
begründet, 1
begründeter, 1
begutachtenden	Arztes, 1
begünstigte, 1
begünstigten	Personen, 1
behandelnde, 1
behandle, 1
behaupten, 1
behaupteten	Vergewaltigung, 1
behaupteten	entstanden, 1
behaupteten	tarifrelevanten, 1
behaupteten	tarifrelevanten	Betriebskosten, 1
behielt, 1
behindern, 1
bei/mit, 1
beider, 1
beides, 1
beidseitiges, 1
beieiner	schwerwiegenden, 1
beigebrachte	Attest, 1
beigebrachte	Literatur, 1
beigefügten, 1
beigeladene	Einkaufsgemeinschaft, 1
beigetragen, 1
beigezogen, 1
beigezogene	Hilfsperson, 1
beigezogene	IV-Akten, 1
beiliegendem, 1
beiläufig, 1
beinhaltet	abgelehnt, 1
beinhaltet	mechanische	Aspekte, 1
beitrage, 1
beitreten, 1
bekannte, 1
bekannte	Gicht, 1
bekannter	Künstler, 1
bekannter	Sachverhalte, 1
bekanntgab, 1
bekundeten, 1
belanglos, 1
belassen, 1
belegen, 1
belegt	sei.Das, 1
beläuft, 1
bemesse, 1
bemüht, 1
benutzten	slowenischen, 1
benötigen, 1
benützen, 1
beobachtete, 1
berechne, 1
berechneten	Baserate, 1
berechtige, 1
bereinigt, 1
bereinigte, 1
bereits, 1
bereue, 1
berichtigten, 1
beruflich, 1
beruflichen	Perspektiven	gefunden, 1
berücksichtigen, 1
berücksichtigten, 1
berührt, 1
besagte	Anschlussreglement, 1
besagte	Cousine, 1
besagte	Visumsgesuch, 1
besagte	pluridisziplinäre, 1
bescheidene	Unterstützung	erhalten, 1
beschriebenen	Gamme, 1
besetzte	Personalfürsorgestiftung, 1
besonderer	Versicherungsformen, 1
besonderes	Leistungspotential, 1
besonderes	Thema, 1
besser	entschädigt, 1
besser	unterstützen, 1
besseren	Chance, 1
besseren	Umfeld, 1
bestenfalls, 1
bestens	dokumentierten, 1
bester, 1
beständen	psychosomatische, 1
bestätigt, 1
bestünden	leichtgradige, 1
bestünden	persistierende, 1
besuche	angeblich, 1
beteiligen, 1
betitelten, 1
betont, 1
betrachten, 1
betragliche	Begrenzung, 1
betrauten, 1
betriebliche, 1
betroffener	Spitäler, 1
betrug, 1
betrügen, 1
betrügerischen, 1
betätigen, 1
beurteilen	gilt, 1
beurteilen	und, 1
bewahrt, 1
beweistauglich, 1
beweistauglichen	Versuchsergebnisse, 1
bewertet, 1
bewiesene, 1
bewilligten, 1
bewilligungsfrei	zulässigen, 1
bewilligungsfrei	zulässigen	maximalen, 1
bewilligungsfreien, 1
bewusst, 1
bezahlen.5.Dieses	Urteil, 1
bezeichnenden, 1
bezog	demzufolge, 1
bezogene	Altersrente, 1
bezwecke, 1
bietet, 1
bildet, 1
bildeten, 1
bio-psycho-sozialen	Konsequenzen, 1
biometrischen	Pass, 1
bisher	ungeklärten, 1
bisherige	Dreiviertelsrente, 1
bittet, 1
bleiben, 1
bleibend	erwerbsunfähig, 1
blosse, 1
blossen	Aktenbeurteilungen, 1
blossen	Aktengutachtens, 1
blossen	Tippfehler, 1
blossen	Umteilung, 1
blossen	Unterstützung, 1
bosnischen	Fachärzten, 1
bot	daraufhin, 1
brachte, 1
brutal	vorgegangen, 1
bundesgerichtlichen	Überwindbarkeitsrechtsprechung	unterliegende, 1
bundesrechtlichen	Mindestanforderungen	genügen, 1
bundesrechtskonforme	Versorgungsplanung, 1
bundesrechtskonforme	Wirtschaftlichkeitsprüfung, 1
bundesverwaltungsgericht, 1
bundesverwaltungsgerichtschweizer, 1
bzw, 1
cKVG, 1
cVwVG, 1
capacité, 1
cerebralen	Aneurysmas, 1
charakterlichen	Konstitution, 1
che	qui, 1
chemischen	Stoff, 1
chemischen	Stoff	enthielten, 1
chinesische	Kundschaft, 1
chronische, 1
chronologische	Reihenfolge, 1
codiert, 1
d'un, 1
d.h.	Betriebsart, 1
d.h.	körperlich, 1
d.h.	wenn, 1
dadurch	Rechnung, 1
dadurch	Verbände, 1
dadurch	akzentuiert, 1
dadurch	eingetretenen, 1
dadurch	erwirkten, 1
dadurch	erworbenen, 1
dadurch	insofern	kein	Nachteil, 1
dadurch	optimal, 1
dadurch	tangiert, 1
dadurch	unrechtmässig, 1
dadurch	unterstrichen, 1
dadurch	verstärkt, 1
dadurch	verunmöglicht, 1
dadurch	verursacht, 1
dafür	einzustehen, 1
dagegen	wiederum	Rechtsvorschlag, 1
dahinfallen, 1
damalige, 1
damals	kennen, 1
daran, 1
darauffolgende	Rentenbestätigung, 1
darauffolgenden	Inspektion, 1
darauffolgenden	Kalenderjahres, 1
daraufhin	eingewilligt, 1
daraufhin	konsultierte, 1
daraufhin	wiederum, 1
dargelegte	Eheleben, 1
dargelegte	Ereignisablauf	klar, 1
dartun, 1
datiertes, 1
datiertes	Zeugnis, 1
dauernden, 1
davor, 1
dd, 1
deformierende, 1
deliktisch, 1
demyelinisierende	Polyneuropathie, 1
demzufolge	abzuweisen	ist.7.7.1, 1
demzufolge	abzuweisen.10.Bei, 1
demzufolge	abzuweisen.8, 1
demzufolge	abzuweisen.9.Bei	diesem, 1
demzufolge	aufzuheben, 1
demzufolge	bejaht, 1
demzufolge	kein, 1
demzufolge	unbegründet.4.4.1, 1
denen, 1
depressive	Episode, 1
depressivem	Effekt, 1
depressivum, 1
der, 1
derVorinstanz, 1
deranwendbaren, 1
dermatologischen, 1
des	Einbürgerungsverfahrens, 1
desselben	Kardiologen, 1
desselben	Semesters, 1
desselben	konstruktiven, 1
detailliert	aufzuführen, 1
detaillierter	Fragekatalog, 1
deu/category:23, 1
deutlichen	Osteoporose, 1
deutlicher	Ausprägung, 1
deutlicher	Hyperkyphose, 1
deutschem, 1
deutschen	Asylbehörden, 1
deutschen	Fachärzte, 1
deutschen	Rentenanstalt	Baden-Württemberg, 1
deutschen	Übersetzung, 1
diabetischen, 1
diabetischen	Polyneuropathie	attestierten, 1
diagnostischer	Radiologe, 1
diagnostiziert, 1
die, 1
dieGleichbehandlung, 1
dieRichtlinie, 1
dieSchweiz, 1
dieantragstellende, 1
diejenigen, 1
diesbezüglich, 1
dieselbe	Altersrente, 1
dieselbe	Fragestellung	aufwirft, 1
dieselbe	Gamme, 1
dieselbe	Produkteserie, 1
dieselbe	Versorgungsplanung	2011-2014, 1
dieselben	AHV-Beiträge, 1
diesem	Attest, 1
diesem	Gesichtspunkt, 1
diesem	ergänzenden, 1
dieses	Gesetzes	auf, 1
dieses	Versicherungsmodell, 1
dieses	Wirkstoffes, 1
diesfalls, 1
differenzialdiagnostisch, 1
diffus, 1
diffuse	Bandscheibenprotrusionen, 1
diffuse	Osteoporose, 1
diskreten, 1
diverse	Differenzen, 1
diverse	Einreise-, 1
diverse	Fachärzte, 1
diverse	Fragebögen, 1
diverse	Nachkontrollen, 1
diverse	Referenzen, 1
diverse	Untersuchungen, 1
diverse	angebliche, 1
diverse	verschreibungspflichtige, 1
diverse	z.T, 1
diverse	ältere, 1
dividieren, 1
doc	13, 1
dokumentierten	Arbeitsfähigkeiten, 1
dokumentierten	Polyneuropathie, 1
dokumentierten	teils, 1
dominiert, 1
dort	angegebenen, 1
dort	intertemporal, 1
dort	wohnen, 1
dreijährigen, 1
dreimonatigen	Gültigkeitsdauer, 1
dreimonatigen	Pause, 1
dreimonatigen	Schengen-Visums, 1
dreimonatigen	Übergangsfrist, 1
dreiwöchigen, 1
dreizehn, 1
dringend	Unterstützung, 1
dringend	stationär, 1
dritten	Semesters, 1
drittens, 1
droite, 1
durchführbaren, 1
durchführbaren	Wegweisungsvollzug, 1
durchschnittlich, 1
durchschnittliche, 1
durchschnittlicher	Jahreslohn, 1
durchsetzen, 1
durchwegs	kritisiert, 1
durchwegs	körperlich, 1
durfte	demzufolge, 1
dürfen, 1
dürfte, 1
dürften	Pflegeheime, 1
dürften	Vorhalteleistungen, 1
dürftigen	Ausführungen, 1
e	SGK, 1
ecgonina, 1
echte, 1
echtzeitlich	attestierte, 1
edierte, 1
edierten, 1
effektiv	entstanden, 1
effektiv	verdient, 1
effektiv	versandt, 1
effizient	hoheitlich, 1
egoistische, 1
ehe, 1
ehelichen, 1
eigenmächtig	abgeändert, 1
eigentliche	Fachbehörde, 1
eigentliche	Gehörsverletzung, 1
eigentliche	Haushaltsabklärung, 1
eigentliche	Limitation, 1
eigentliche	Steuern	gelten	strenge, 1
eigentliche	Verpflichtung, 1
eigentliche	Verwertbarkeit, 1
eigentliche	Zweckbestimmung, 1
eigentliche	deliktische, 1
eigentliche	intertemporale, 1
eigentliche	pflegerische, 1
ein.M.Mit, 1
einbezahlten	AHV-Beiträge	antragsgemäss	zurückzuerstatten, 1
einbringen, 1
einbürgerungvorinstanzeheliche, 1
eineinhalb, 1
einer	Beitragsverfügung, 1
einerseits, 1
einfache, 1
eingebürgert, 1
eingegangenen	Ehen, 1
eingegangenen	Verpflichtung, 1
eingeholte	Referenzen, 1
eingeholter	Referenzen, 1
eingeladenen	Gastes, 1
eingeladenen	Schwägerin, 1
eingenommenen	Schmerzmittel, 1
eingereicht, 1
eingereichten	Bankgarantie, 1
eingereichtes	Asylgesuch, 1
eingereichtes	Bestätigungsschreiben, 1
eingeräumten, 1
eingeräumten	Recht, 1
eingeschriebenem	Kurzbrief, 1
eingetretenen	Chronifizierung, 1
eingetretenen	Leistungsfalls, 1
eingetretenen	Todesfällen, 1
eingetretenen	Verschlechterungen, 1
eingetretenen	raschen, 1
eingewiesen, 1
eingezahlte, 1
einging, 1
einheimische	Nahrungsmittel, 1
einheitliche	Baserate, 1
einholte, 1
einleuchtenden, 1
einmalige	Reise, 1
einmalige	Witwenabfindung, 1
einmalige	Überprüfungen, 1
einschneidenden	Konsequenzen, 1
einschränke, 1
einseitige	Zusammenfassung, 1
eintretenden, 1
einverstanden, 1
einzelfallweisen, 1
einzelnen	Projekte, 1
einzugreifen, 1
einzuholende	Administrativgutachten, 1
einzutreten.2.Vorliegend, 1
elektronischen, 1
emigriert, 1
emotional	belastenden	Umfeld, 1
emotional	instabilen	Anteilen, 1
emotional	instabilen	Persönlichkeits-, 1
emotionale	Veränderung, 1
empfangsbedürftige, 1
empfindlich, 1
empfohlenen	Kostendeckungsgrad, 1
enge	Freundschaft, 1
engeren	Betriebskosten, 1
englischer	Übersetzung, 1
entbunden, 1
entfaltet, 1
entfliehen	wollen, 1
entgegenstehenden, 1
enthalte	präzise, 1
enthalten, 1
entlassen, 1
entnehmen	:, 1
entnehmenden, 1
entrichten.5.Dieses, 1
entrichteten, 1
entscheidend, 1
entscheidenden	Behörde, 1
entsprachen	HUF, 1
entsprechendem	Verständnis, 1
entsprechendem	Zustimmungsentscheid, 1
entzogen.E.Mit, 1
entzündlicher, 1
erachteten, 1
erblickt, 1
erbracht, 1
erbrachten	KVG-Leistungen, 1
erbringen, 1
erfahrungsgemäss	dort, 1
erfahrungsgemäss	erhöht, 1
erfahrungsgemäss	problemlos, 1
erfahrungsgemäss	zurückbleibende, 1
erfasst, 1
erfasste	Attest, 1
erfolglosen	Mahnungen, 1
erfolglosen	Visumsgesuch, 1
erfolglosen	Wiedererlangung, 1
erfolgt, 1
erfolgtem, 1
erforderliche	Revisionsgrund	gegeben, 1
erforderlichen, 1
erfuhr, 1
erfüllen, 1
erfüllt, 1
erfüllt.4.2, 1
erfüllt.6.6.1, 1
erfüllt.7.2, 1
erfüllter, 1
ergangene	Asyl-, 1
ergebe	sich, 1
ergibt, 1
ergriffen, 1
ergänzenden	Beweisvorkehren, 1
ergänzenden	Garantien, 1
ergänzenden	Prämienermässigung	nach, 1
ergänzenden	Unterstützung, 1
erhalte	0,5, 1
erhalte	laufend, 1
erhalten	versucht, 1
erhalten	zu, 1
erhaltener	Rabatte, 1
erhebliche, 1
erheblicher	Antriebsschwäche, 1
