0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,,,,,,,,
quiet,",",adult,and,just,about,more,stately,than,any,contemporary,movie,this,year,.,.,.,a,TRUE,study,",",a,film,with,a,questioning,heart,and,mind,that,1,1,correct
1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,,,
[,while,the,last,metro,],was,more,melodramatic,",",confined,to,a,single,theater,company,and,its,strategies,and,deceptions,",",while,tavernier,is,more,concerned,with,the,entire,0,1,wrong
0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,,,
.,.,.,turns,so,unforgivably,trite,in,its,last,10,minutes,that,anyone,without,a,fortified,sweet,tooth,will,likely,go,into,sugar,shock,.,0,0,correct,,,,
0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,
all,in,all,",",it,'s,a,pretty,good,execution,of,a,story,that,'s,a,lot,richer,than,the,ones,hollywood,action,screenwriters,usually,come,up,with,on,their,1,1,correct
1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,
this,warm,and,gentle,romantic,comedy,has,enough,interesting,characters,to,fill,several,movies,",",and,its,ample,charms,should,win,over,the,most,hard-hearted,cynics,.,1,1,correct,,,
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,,,,,,
it,'s,definitely,an,improvement,on,the,first,blade,",",since,it,does,n't,take,itself,so,deadly,seriously,.,0,1,wrong,,,,,,,,,,
1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,,,,,,,,,,,,,
producer,john,penotti,surveyed,high,school,students,.,.,.,and,came,back,with,the,astonishing,revelation,that,``,they,wanted,to,see,something,that,did,n't,talk,down,to,1,0,wrong
0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,,,
a,film,that,takes,you,inside,the,rhythms,of,its,subject,:,you,experience,it,as,you,watch,.,1,1,correct,,,,,,,,,,,
1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,,,,,,,,,,,,,,
neither,quite,a,comedy,nor,a,romance,",",more,of,an,impish,divertissement,of,themes,that,interest,attal,and,gainsbourg,--,they,live,together,--,the,film,has,a,lot,1,1,correct
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,,,
the,piano,teacher,is,not,an,easy,film,.,it,forces,you,to,watch,people,doing,unpleasant,things,to,each,other,and,themselves,",",and,it,maintains,a,cool,distance,1,1,correct
0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,,,
.,.,.,a,rather,bland,affair,.,0,0,correct,,,,,,,,,,,,,,,,,,,,,,
0,0,0,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
'christian,bale,'s,quinn,[,is,],a,leather,clad,grunge-pirate,with,a,hairdo,like,gandalf,in,a,wind-tunnel,and,a,simply,astounding,cor-blimey-luv-a-duck,cockney,accent,.,',0,0,correct,,
0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,,,,,
a,first-class,road,movie,that,proves,you,can,run,away,from,home,",",but,your,ego,and,all,your,problems,go,with,you,.,1,1,correct,,,,,,
1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,,,,,,,,
ong,chooses,to,present,ah,na,'s,life,as,a,slight,",",weightless,fairy,tale,",",whose,most,unpleasant,details,seem,to,melt,away,in,the,face,of,the,character,0,0,correct
0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,,,
you,do,n't,know,whether,to,admire,the,film,'s,stately,nature,and,call,it,classicism,or,be,exasperated,by,a,noticeable,lack,of,pace,.,or,both,.,0,1,wrong,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,,,,
reggio,'s,trippy,",",ambitious,downer,can,also,sometimes,come,across,like,nothing,more,than,a,glorified,nike,ad,.,0,0,correct,,,,,,,,,,
0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,
it,moves,quickly,",",adroitly,",",and,without,fuss,;,it,does,n't,give,you,time,to,reflect,on,the,inanity,--,and,the,cold,war,datedness,--,of,its,1,1,correct
1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,,,
it,does,n't,quite,deserve,the,gong,",",but,there,are,more,fascinating,acts,than,``,confessions,of,a,dangerous,mind,.,``,1,0,wrong,,,,,,,
1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
'they,',begins,and,ends,with,scenes,so,terrifying,i,'m,still,stunned,.,and,i,'ve,decided,to,leave,a,light,on,every,night,from,now,on,.,0,1,wrong,
0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,,,,
it,is,hard,not,to,be,especially,grateful,for,freedom,after,a,film,like,this,.,0,1,wrong,,,,,,,,,,,,,,
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
possibly,the,most,irresponsible,picture,ever,released,by,a,major,film,studio,.,0,0,correct,,,,,,,,,,,,,,,,,
1,1,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
two,hours,fly,by,--,opera,'s,a,pleasure,when,you,do,n't,have,to,endure,intermissions,--,and,even,a,novice,to,the,form,comes,away,exhilarated,.,1,1,correct,
1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,,,,
was,i,scared,?,only,at,the,prospect,of,beck,'s,next,project,.,let,'s,see,",",a,haunted,house,",",a,haunted,ship,",",what,'s,next,.,0,0,correct
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,,,
this,is,n't,exactly,profound,cinema,",",but,it,'s,good-natured,and,sometimes,quite,funny,.,1,1,correct,,,,,,,,,,,,,,
0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,,,,,,,,,,,,,,,,,
a,gentle,",",compassionate,drama,about,grief,and,healing,.,1,1,correct,,,,,,,,,,,,,,,,,,,,
0,1,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
this,is,more,fascinating,--,being,real,--,than,anything,seen,on,jerry,springer,.,1,1,correct,,,,,,,,,,,,,,,
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
the,action,quickly,sinks,into,by-the-numbers,territory,.,0,0,correct,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
the,film,is,weighed,down,by,supporting,characters,who,are,either,too,goodly,",",wise,and,knowing,or,downright,comically,evil,.,0,0,correct,,,,,,,,
0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
the,best,comedy,concert,movie,i,'ve,seen,since,cho,'s,previous,concert,comedy,film,",",i,'m,the,one,that,i,want,",",in,2000,.,1,1,correct,,,
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,,,,,,
the,title,helpfully,offers,the,most,succinct,review,of,it,you,'ll,read,anywhere,.,1,0,wrong,,,,,,,,,,,,,,,
1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
photographed,with,melancholy,richness,and,eloquently,performed,yet,also,decidedly,uncinematic,.,1,1,correct,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,0,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,
highly,engaging,.,1,1,correct,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
never,again,swings,between,FALSE,sentiment,and,unfunny,madcap,comedy,and,",",along,the,way,",",expects,the,audience,to,invest,in,the,central,relationship,as,some,kind,of,marriage,0,0,correct
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,,,
the,chateau,cleverly,probes,the,cross-cultural,differences,between,gauls,and,yanks,.,1,1,correct,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
gangster,no,.,1,is,solid,",",satisfying,fare,for,adults,.,1,1,correct,,,,,,,,,,,,,,,,,,
0,1,0,0,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
while,there,are,times,when,the,film,'s,reach,exceeds,its,grasp,",",the,production,works,more,often,than,it,does,n't,.,1,1,correct,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,,,,,,,,,,
you,wo,n't,look,at,religious,fanatics,--,or,backyard,sheds,--,the,same,way,again,.,0,1,wrong,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,
[,``,safe,conduct,``,],is,a,long,movie,at,163,minutes,but,it,fills,the,time,with,drama,",",romance,",",tragedy,",",bravery,",",political,intrigue,",",1,1,correct
0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,,
idiotic,and,ugly,.,0,1,wrong,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,thought,my,own,watch,had,stopped,keeping,time,as,i,slogged,my,way,through,clockstoppers,.,0,0,correct,,,,,,,,,,,,,
0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,
resurrection,has,the,dubious,distinction,of,being,a,really,bad,imitation,of,the,really,bad,blair,witch,project,.,0,0,correct,,,,,,,,,,,
0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
an,acceptable,way,to,pass,a,little,over,an,hour,with,moviegoers,ages,10-Aug,",",but,it,'s,unlikely,to,inspire,anything,more,than,a,visit,to,mcdonald,'s,",",0,0,correct
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,
like,life,on,the,island,",",the,movie,grows,boring,despite,the,scenery,.,0,0,correct,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
though,filmed,partly,in,canada,",",paid,in,full,has,clever,ways,of,capturing,inner-city,life,during,the,reagan,years,.,1,1,correct,,,,,,,,,
1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
the,gifted,crudup,has,the,perfect,face,to,play,a,handsome,blank,yearning,to,find,himself,",",and,his,cipherlike,personality,and,bad,behavior,would,play,fine,if,the,movie,1,0,wrong
0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,,,
the,cumulative,effect,of,the,movie,is,repulsive,and,depressing,.,0,0,correct,,,,,,,,,,,,,,,,,,,
1,1,1,0,0,0,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,
with,spy,kids,2,:,the,island,of,lost,dreams,writer/director/producer,robert,rodriguez,has,cobbled,together,a,film,that,feels,like,a,sugar,high,gone,awry,.,0,0,correct,,,
0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,,,,,,
though,there,are,entertaining,and,audacious,moments,",",the,movie,'s,wildly,careening,tone,and,an,extremely,flat,lead,performance,do,little,to,salvage,this,filmmaker,'s,flailing,reputation,.,0,0,correct
1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,,,
the,story,'s,so,preposterous,that,i,did,n't,believe,it,for,a,second,",",despite,the,best,efforts,of,everyone,involved,.,0,0,correct,,,,,,,
0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,,,,,,,,,,
stephen,earnhart,'s,documentary,is,a,decomposition,of,healthy,eccentric,inspiration,and,ambition,,wearing,a,cloak,of,unsentimental,",",straightforward,text,,when,it,'s,really,an,exercise,in,0,0,correct
0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,,,
the,director,",",with,his,fake,backdrops,and,stately,pacing,",",never,settles,on,a,consistent,tone,.,0,0,correct,,,,,,,,,,,,
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,
works,because,reno,does,n't,become,smug,or,sanctimonious,towards,the,audience,.,0,1,wrong,,,,,,,,,,,,,,,,,
1,1,0,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
i,was,feeling,this,movie,until,it,veered,off,too,far,into,the,exxon,zone,",",and,left,me,behind,at,the,station,looking,for,a,return,ticket,to,realism,0,0,correct
0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,,,
the,kind,of,spectacularly,misconceived,enterprise,that,only,a,sophisticated,cinephile,could,have,perpetrated,.,0,0,correct,,,,,,,,,,,,,,,
1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
time,out,is,as,serious,as,a,pink,slip,.,and,more,than,that,",",it,'s,an,observant,",",unfussily,poetic,meditation,about,identity,and,alienation,.,1,1,correct,,
0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,,,,,
it,'s,funny,and,human,and,really,pretty,damned,wonderful,",",all,at,once,.,1,1,correct,,,,,,,,,,,,,,,
1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,
feeble,comedy,.,0,0,correct,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
despite,the,fact,that,this,film,was,n't,as,bad,as,i,thought,it,was,going,to,be,",",it,'s,still,not,a,good,movie,0,0,correct,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,,,,,,,
like,all,abstract,art,",",the,film,does,not,make,this,statement,in,an,easily,accessible,way,",",and,--,unless,prewarned,--,it,would,be,very,possible,for,a,0,0,correct
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,,,
it,'s,not,a,bad,premise,",",just,a,bad,movie,.,0,0,correct,,,,,,,,,,,,,,,,,,
1,1,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
at,its,best,",",it,'s,black,hawk,down,with,more,heart,.,at,its,worst,",",it,'s,rambo-,meets-john,ford,.,0,0,correct,,,,,,,
1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,
ray,liotta,and,jason,patric,do,some,of,their,best,work,in,their,underwritten,roles,",",but,do,n't,be,fooled,:,nobody,deserves,any,prizes,here,.,1,1,correct,,
0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,,,,,
the,film,is,powerful,",",accessible,and,funny,.,you,wo,n't,miss,its,messages,",",but,you,'ll,be,entertained,as,well,.,1,1,correct,,,,,,
0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,,,,,,,,,
largely,a,for-fans,artifact,.,0,0,correct,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
despite,these,annoyances,",",the,capable,clayburgh,and,tambor,really,do,a,great,job,of,anchoring,the,characters,in,the,emotional,realities,of,middle,age,.,1,1,correct,,,,
0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
broomfield,turns,his,distinctive,'blundering,',style,into,something,that,could,really,help,clear,up,the,case,.,1,1,correct,,,,,,,,,,,,
1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
those,who,are,only,mildly,curious,",",i,fear,",",will,be,put,to,sleep,or,bewildered,by,the,artsy,and,often,pointless,visuals,.,0,0,correct,,,,,
0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,,,,,,,,
so,stupid,",",so,ill-conceived,",",so,badly,drawn,",",it,created,whole,new,levels,of,ugly,.,0,0,correct,,,,,,,,,,,,
1,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,
you,'ll,just,have,your,head,in,your,hands,wondering,why,lee,'s,character,did,n't,just,go,to,a,bank,manager,and,save,everyone,the,misery,.,0,0,correct,,
1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,,,,,
fun,",",flip,and,terribly,hip,bit,of,cinematic,entertainment,.,1,1,correct,,,,,,,,,,,,,,,,,,,
1,1,0,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
boll,uses,a,lot,of,quick,cutting,and,blurry,step-printing,to,goose,things,up,",",but,dopey,dialogue,and,sometimes,inadequate,performances,kill,the,effect,.,0,0,correct,,,,
0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,,,,,,,
if,swimfan,does,catch,on,",",it,may,be,because,teens,are,looking,for,something,to,make,them,laugh,.,1,0,wrong,,,,,,,,,,
1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,
by,the,time,the,plot,grinds,itself,out,in,increasingly,incoherent,fashion,",",you,might,be,wishing,for,a,watch,that,makes,time,go,faster,rather,than,the,other,way,0,0,correct
1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,,,
it,'s,something,of,the,ultimate,scorsese,film,",",with,all,the,stomach-turning,violence,",",colorful,new,york,gang,lore,and,other,hallmarks,of,his,personal,cinema,painted,on,their,1,1,correct
1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,
the,filmmakers,lack,the,nerve,.,.,.,to,fully,exploit,the,script,'s,potential,for,sick,humor,.,0,0,correct,,,,,,,,,,,
1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,
kids,should,have,a,stirring,time,at,this,beautifully,drawn,movie,.,and,adults,will,at,least,have,a,dream,image,of,the,west,to,savor,whenever,the,film,'s,1,1,correct
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,
writer-director,burger,imaginatively,fans,the,embers,of,a,dormant,national,grief,and,curiosity,that,has,calcified,into,chronic,cynicism,and,fear,.,1,1,correct,,,,,,,,
0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,,,,,,,,,,,
we,get,the,comedy,we,settle,for,.,1,0,wrong,,,,,,,,,,,,,,,,,,,,,,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
like,its,script,",",which,nurses,plot,holes,gaping,enough,to,pilot,an,entire,olympic,swim,team,through,",",the,characters,in,swimfan,seem,motivated,by,nothing,short,of,dull,0,0,correct
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,,,
a,restrained,ribisi,convinces,as,an,italian,",",though,if,ever,a,movie,needed,one,of,the,actor,'s,whiny,jags,to,pump,it,up,",",this,has,to,be,1,0,wrong
0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,
it,'s,an,offbeat,treat,that,pokes,fun,at,the,democratic,exercise,while,also,examining,its,significance,for,those,who,take,part,.,1,1,correct,,,,,,,
1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
a,cutesy,romantic,tale,with,a,twist,.,1,1,correct,,,,,,,,,,,,,,,,,,,,,,
1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
[,a,],soulless,",",stupid,sequel,.,.,.,0,0,correct,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
features,fincher,'s,characteristically,startling,visual,style,and,an,almost,palpable,sense,of,intensity,.,1,1,correct,,,,,,,,,,,,,,,
1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,
aggressive,self-glorification,and,a,manipulative,whitewash,.,stay,for,the,credits,and,see,a,devastating,comic,impersonation,by,dustin,hoffman,that,is,revelatory,.,1,0,wrong,,,,,,
1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,,,,,,,,,
i,do,n't,think,most,of,the,people,who,loved,the,1989,paradiso,will,prefer,this,new,version,.,but,i,do,.,0,1,wrong,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,,,,,,,,,,
it,wraps,up,a,classic,mother/daughter,struggle,in,recycled,paper,with,a,shiny,new,bow,and,while,the,audience,can,tell,it,'s,not,all,new,",",at,least,it,1,0,wrong
1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,,,
without,non-stop,techno,or,the,existential,overtones,of,a,kieslowski,morality,tale,",",maelström,is,just,another,winter,sleepers,.,1,0,wrong,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,,,,,,,,,,,,,
so,boring,that,even,its,target,audience,talked,all,the,way,through,it,.,0,0,correct,,,,,,,,,,,,,,,,
1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
this,masterfully,calibrated,psychological,thriller,thrives,on,its,taut,performances,and,creepy,atmosphere,even,if,the,screenplay,falls,somewhat,short,.,1,1,correct,,,,,,,,,
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,
.,.,.,a,story,we,have,n't,seen,on,the,big,screen,before,",",and,it,'s,a,story,that,we,as,americans,",",and,human,beings,",",should,1,1,correct
0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,,,
i,ca,n't,begin,to,tell,you,how,tedious,",",how,resolutely,unamusing,",",how,thoroughly,unrewarding,all,of,this,is,",",and,what,a,reckless,squandering,of,four,fine,0,0,correct
0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,,,
nelson,'s,intentions,are,good,",",but,the,end,result,does,no,justice,to,the,story,itself,.,it,'s,horribly,depressing,and,not,very,well,done,.,0,0,correct,,
0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,,,,,
auto,focus,is,not,your,standard,hollywood,bio-pic,.,schrader,aims,to,present,an,unflinching,look,at,one,man,'s,downfall,",",brought,about,by,his,lack,of,self-awareness,.,1,1,correct
0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,,,
a,tv,style,murder,mystery,with,a,few,big,screen,moments,(,including,one,that,seems,to,be,made,for,a,different,film,altogether,),.,0,0,correct,,,,
1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,,,,,,,
a,few,zingers,aside,",",the,writing,is,indifferent,",",and,jordan,brady,'s,direction,is,prosaic,.,0,0,correct,,,,,,,,,,,,
0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,0,,,,,,,,,,,,,,,
wonder,",",hope,and,magic,can,never,escape,the,heart,of,the,boy,when,the,right,movie,comes,along,",",especially,if,it,begins,with,the,name,of,star,wars,0,1,wrong
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,,,
a,strong,first,quarter,",",slightly,less,so,second,quarter,",",and,average,second,half,.,1,0,wrong,,,,,,,,,,,,,,
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
nicole,kidman,makes,it,a,party,worth,attending,.,1,1,correct,,,,,,,,,,,,,,,,,,,,,
0,0,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,
an,appealingly,juvenile,trifle,that,delivers,its,share,of,laughs,and,smiles,.,1,1,correct,,,,,,,,,,,,,,,,,
0,1,1,1,0,1,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,
you,might,say,tykwer,has,done,all,that,heaven,allows,",",if,you,wanted,to,make,as,anti-kieslowski,a,pun,as,possible,.,suffice,to,say,its,total,promise,is,0,0,correct
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,,,
'butterfingered,',is,the,word,for,the,big-fisted,direction,of,jez,butterworth,",",who,manages,to,blast,even,the,smallest,sensitivities,from,the,romance,with,his,clamorous,approach,.,1,0,wrong,
0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,
the,film,'s,needlessly,opaque,intro,takes,its,doe-eyed,crudup,out,of,pre-9/11,new,york,and,onto,a,cross-country,road,trip,of,the,homeric,kind,.,0,0,correct,,,,
0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
even,when,he,'s,not,at,his,most,critically,insightful,",",godard,can,still,be,smarter,than,any,50,other,filmmakers,still,at,work,.,1,1,correct,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,
claude,miller,airs,out,a,tight,plot,with,an,easy,pace,and,a,focus,on,character,drama,over,crime-film,complications,.,1,1,correct,,,,,,,,,
0,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,
``,juwanna,mann,?,``,no,thanks,.,wewannour,money,back,",",actually,.,0,0,correct,,,,,,,,,,,,,,,,
0,1,0,0,1,1,1,0,1,1,0,1,1,0,,,,,,,,,,,,,,,,,,,
'a,fresh-faced,",",big-hearted,and,frequently,funny,thrill,ride,for,the,kiddies,",",with,enough,eye,candy,and,cheeky,wit,to,keep,parents,away,from,the,concession,stand,.,',1,1,correct
0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,
together,",",miller,",",kuras,and,the,actresses,make,personal,velocity,into,an,intricate,",",intimate,and,intelligent,journey,.,1,1,correct,,,,,,,,,,
1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,,,,,,,,,,,,,
a,weird,",",arresting,little,ride,.,1,1,correct,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
